Nome,CodigoRgb,NomesCores,imagem,tipo
Cozinha Compacta Iluminata 8 PT 4 GV Branca e Ãbano,"['#7d7165', '#cec9c3', '#28241d', '#b1a8a0', '#524b43']","['dimgray', 'silver', 'black', 'darkgray', 'darkslategray']",https://static.mobly.com.br/p/GENIALFLEX-Cozinha-Compacta-Iluminata-8-PT-4-GV-Branca-e-C389bano-6321-2963011-1-cart.jpg,Conjunto Cozinha
ArmÃ¡rio AÃ©reo Canelone com Vidro 3 PT Preto,"['#fefefe', '#434442', '#1e1f1e', '#b0b0b0', '#555654']","['white', 'darkslategray', 'black', 'darkgray', 'dimgray']",https://static.mobly.com.br/p/Politorno-ArmC3A1rio-AC3A9reo-Canelone-com-Vidro-3-PT-Preto-5823-1819211-1-cart.jpg,
ArmÃ¡rio AÃ©reo Evidence 3 PT Branco 120 cm,"['#fefefe', '#b2b2b2', '#e7e7e7', '#c8c8c8', '#ededed']","['white', 'darkgray', 'lavender', 'silver', 'whitesmoke']",https://static.mobly.com.br/p/Poliman-ArmC3A1rio-AC3A9reo-Evidence-3-PT-Branco-120-cm-0703-609429-1-cart.jpg,
BalcÃ£o de Cozinha Iluminata 2 PT Mint 80 cm,"['#fdfdfb', '#b7aea3', '#e57145', '#cacac2', '#7d756b']","['snow', 'darkgray', 'tomato', 'silver', 'dimgray']",https://static.mobly.com.br/p/GENIALFLEX-BalcC3A3o-de-Cozinha-Iluminata-2-PT-Mint-80-cm-6017-8369301-1-cart.jpg,Balcao de Cozinha
Paneleiro Maxxi 2 PT Branco,"['#f0efef', '#c8c7c7', '#fefefe', '#dfdede', '#7d7a74']","['whitesmoke', 'silver', 'white', 'gainsboro', 'gray']",https://static.mobly.com.br/p/Kappesberg-Paneleiro-Maxxi-2-PT-Branco-2231-707789-1-cart.jpg,Paneleiro
Paneleiro Firenze 4 PT Avena,"['#fefefd', '#baa493', '#443b33', '#807164', '#cec2b7']","['white', 'rosybrown', 'darkslategray', 'dimgray', 'silver']",https://static.mobly.com.br/p/DemC3B3bile-Paneleiro-Firenze-4-PT-Avena-2719-0542001-1-cart.jpg,Paneleiro
BalcÃ£o de Cozinha Bruges com Tampo 2 PT 3 GV FreijÃ³ e Off White,"['#fefefd', '#876a4c', '#eceadd', '#9f8364', '#bab2a6']","['white', 'dimgray', 'beige', 'gray', 'darkgray']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Bruges-com-Tampo-2-PT-3-GV-FreijC3B3-e-Off-White-5239-098188-1-cart.jpg,Balcao de Cozinha
ArmÃ¡rio AÃ©reo Botanic 2 PT Nogueira 80 cm,"['#ebe3d6', '#846845', '#b4a593', '#fefefd', '#90734f']","['antiquewhite', 'sienna', 'rosybrown', 'white', 'dimgray']",https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Botanic-2-PT-Nogueira-80-cm-3793-827599-1-cart.jpg,
BalcÃ£o de Cozinha com Tampo CarmÃ©nere 3 PT 2 GV Marrom e Branco,"['#fefefe', '#bcb7b4', '#eeefef', '#d8d7d6', '#a48e83']","['white', 'silver', 'whitesmoke', 'lightgray', 'rosybrown']",https://static.mobly.com.br/p/Ronipa-BalcC3A3o-de-Cozinha-com-Tampo-CarmC3A9nere-3-PT-2-GV-Marrom-e-Branco-0282-307637-1-cart.jpg,Balcao de Cozinha
Cozinha Compacta Dama 7 PT 3 GV Avena e Grafito,"['#c8c4be', '#4b4741', '#f9f9f7', '#7c7469', '#a39e94']","['silver', 'darkslategray', 'whitesmoke', 'dimgray', 'darkgray']",https://static.mobly.com.br/p/DemC3B3bile-Cozinha-Compacta-Dama-7-PT-3-GV-Avena-e-Grafito-3934-990999-1-cart.jpg,Conjunto Cozinha
Cozinha Completa Madesa Reims 310001 com ArmÃ¡rio e BalcÃ£o - Preto,"['#4d3e2f', '#7d6c53', '#d2bfa2', '#a7947b', '#2e241c']","['darkolivegreen', 'dimgray', 'tan', 'rosybrown', 'black']",https://static.mobly.com.br/p/Madesa-Cozinha-Completa-Madesa-Reims-310001-com-ArmC3A1rio-e-BalcC3A3o---Preto-1383-764567-1-cart.jpg,Cozinha completa
BalcÃ£o de Cozinha com Tampo Confort 1 PT Grafite e Branco,"['#fefefe', '#424447', '#aeafb0', '#dedede', '#7f8081']","['white', 'darkslategray', 'darkgray', 'gainsboro', 'gray']",https://static.mobly.com.br/p/BATROL-BalcC3A3o-de-Cozinha-com-Tampo-Confort-1-PT-Grafite-e-Branco-3438-070879-1-cart.jpg,Balcao de Cozinha
ArmÃ¡rio AÃ©reo CarmÃ©nere 2 PT Castanho e Chumbo,"['#fefefe', '#5d5856', '#cfc1b9', '#4b2f25', '#99867e']","['white', 'dimgray', 'silver', 'darkslategray', 'gray']",https://static.mobly.com.br/p/Ronipa-ArmC3A1rio-AC3A9reo-CarmC3A9nere-2-PT-Castanho-e-Chumbo-7151-007637-1-cart.jpg,
Kit de Cozinha Encanto 7 PT 2 GV Amendola e Branco,"['#664d37', '#ded6d0', '#fdfcfb', '#9c8371', '#c4b3a4']","['darkolivegreen', 'lightgray', 'snow', 'gray', 'tan']",https://static.mobly.com.br/p/DemC3B3bile-Kit-de-Cozinha-Encanto-7-PT-2-GV-Amendola-e-Branco-1347-535088-1-cart.jpg,
ArmÃ¡rio AÃ©reo Canelone com Vidro 2 PT Preto,"['#fdfdfd', '#52544f', '#202120', '#aaaaaa', '#434541']","['white', 'darkslategray', 'black', 'darkgray', 'darkslategray']",https://static.mobly.com.br/p/Politorno-ArmC3A1rio-AC3A9reo-Canelone-com-Vidro-2-PT-Preto-5816-2819211-1-cart.jpg,
ArmÃ¡rio AÃ©reo Bruges Espelhado 2 PT Nogal,"['#6e5e4b', '#fefefd', '#c8c0af', '#8b806e', '#bcb3a0']","['dimgray', 'white', 'silver', 'gray', 'darkgray']",https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Bruges-Espelhado-2-PT-Nogal-5107-778188-1-cart.jpg,
Cozinha Compacta Merlot 9 PT 1 GV Castanho e Branca,"['#d8dcde', '#473729', '#857f76', '#b0afac', '#6a5b4e']","['gainsboro', 'darkslategray', 'gray', 'darkgray', 'dimgray']",https://static.mobly.com.br/p/Ronipa-Cozinha-Compacta-Merlot-9-PT-1-GV-Castanho-e-Branca-6451-338629-1-cart.jpg,Conjunto Cozinha
ArmÃ¡rio AÃ©reo Botanic 3 PT Nogueira 120 cm,"['#d0c4b6', '#907554', '#fefefd', '#9f8970', '#846949']","['silver', 'dimgray', 'white', 'gray', 'dimgray']",https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Botanic-3-PT-Nogueira-120-cm-3910-037599-1-cart.jpg,
Paneleiro Botanic 2 PT Nogueira e Verde Oliva,"['#c3baaf', '#fefefe', '#75715a', '#897f76', '#ebe9e7']","['silver', 'white', 'dimgray', 'gray', 'linen']",https://static.mobly.com.br/p/Kappesberg-Paneleiro-Botanic-2-PT-Nogueira-e-Verde-Oliva-3509-427599-1-cart.jpg,Paneleiro
BalcÃ£o de Cozinha com Tampo Botanic 2 PT Fendi e Nogueira,"['#968679', '#fefefd', '#7c6449', '#b9ac9f', '#eae2d8']","['gray', 'white', 'dimgray', 'darkgray', 'gainsboro']",https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-com-Tampo-Botanic-2-PT-Fendi-e-Nogueira-2468-1684001-1-cart.jpg,Balcao de Cozinha
