Nome,imagem,CodigoRgb,NomesCor,tipo
Cozinha Compacta Iluminata 8 PT 4 GV Branca e Ãbano,https://static.mobly.com.br/p/GENIALFLEX-Cozinha-Compacta-Iluminata-8-PT-4-GV-Branca-e-C389bano-6321-2963011-1-cart.jpg,"[[125, 113, 101], [206, 201, 195], [40, 36, 29], [177, 168, 160], [82, 75, 67]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Conjunto Cozinha
ArmÃ¡rio AÃ©reo Canelone com Vidro 3 PT Preto,https://static.mobly.com.br/p/Politorno-ArmC3A1rio-AC3A9reo-Canelone-com-Vidro-3-PT-Preto-5823-1819211-1-cart.jpg,"[[254, 254, 254], [67, 68, 66], [30, 31, 30], [176, 176, 176], [85, 86, 84]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
ArmÃ¡rio AÃ©reo Evidence 3 PT Branco 120 cm,https://static.mobly.com.br/p/Poliman-ArmC3A1rio-AC3A9reo-Evidence-3-PT-Branco-120-cm-0703-609429-1-cart.jpg,"[[254, 254, 254], [178, 178, 178], [231, 231, 231], [200, 200, 200], [237, 237, 237]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha Iluminata 2 PT Mint 80 cm,https://static.mobly.com.br/p/GENIALFLEX-BalcC3A3o-de-Cozinha-Iluminata-2-PT-Mint-80-cm-6017-8369301-1-cart.jpg,"[[253, 253, 251], [183, 174, 163], [229, 113, 69], [202, 202, 194], [125, 117, 107]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Paneleiro Maxxi 2 PT Branco,https://static.mobly.com.br/p/Kappesberg-Paneleiro-Maxxi-2-PT-Branco-2231-707789-1-cart.jpg,"[[240, 239, 239], [200, 199, 199], [254, 254, 254], [223, 222, 222], [125, 122, 116]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Paneleiro
Paneleiro Firenze 4 PT Avena,https://static.mobly.com.br/p/DemC3B3bile-Paneleiro-Firenze-4-PT-Avena-2719-0542001-1-cart.jpg,"[[254, 254, 253], [186, 164, 147], [68, 59, 51], [128, 113, 100], [206, 194, 183]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Paneleiro
BalcÃ£o de Cozinha Bruges com Tampo 2 PT 3 GV FreijÃ³ e Off White,https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Bruges-com-Tampo-2-PT-3-GV-FreijC3B3-e-Off-White-5239-098188-1-cart.jpg,"[[254, 254, 253], [135, 106, 76], [236, 234, 221], [159, 131, 100], [186, 178, 166]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
ArmÃ¡rio AÃ©reo Botanic 2 PT Nogueira 80 cm,https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Botanic-2-PT-Nogueira-80-cm-3793-827599-1-cart.jpg,"[[235, 227, 214], [132, 104, 69], [180, 165, 147], [254, 254, 253], [144, 115, 79]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha com Tampo CarmÃ©nere 3 PT 2 GV Marrom e Branco,https://static.mobly.com.br/p/Ronipa-BalcC3A3o-de-Cozinha-com-Tampo-CarmC3A9nere-3-PT-2-GV-Marrom-e-Branco-0282-307637-1-cart.jpg,"[[254, 254, 254], [188, 183, 180], [238, 239, 239], [216, 215, 214], [164, 142, 131]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Cozinha Compacta Dama 7 PT 3 GV Avena e Grafito,https://static.mobly.com.br/p/DemC3B3bile-Cozinha-Compacta-Dama-7-PT-3-GV-Avena-e-Grafito-3934-990999-1-cart.jpg,"[[200, 196, 190], [75, 71, 65], [249, 249, 247], [124, 116, 105], [163, 158, 148]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Conjunto Cozinha
